TargetID,Region,Quarter,Year,MonthlyTarget,YTDTarget,AreaManager,AchievementPercent
T000001,West,Q4,2024,10204,122448,Mr./Ms. Mehta,120.17
T000002,Central,Q2,2025,10763,129156,Mr./Ms. Singh,126.75
T000003,East,Q4,2023,7502,90024,Mr./Ms. Verma,100.2
T000004,Central,Q1,2025,17547,210564,Mr./Ms. Patel,84.61
T000005,South,Q4,2023,7758,93096,Mr./Ms. Verma,106.1
T000006,West,Q2,2025,11317,135804,Mr./Ms. Patel,83.54
T000007,Central,Q1,2025,9894,118728,Mr./Ms. Iyer,115.36
T000008,East,Q4,2023,5352,64224,Mr./Ms. Patel,82.19
T000009,Central,Q1,2025,15451,185412,Mr./Ms. Singh,127.35
T000010,East,Q4,2024,10309,123708,Mr./Ms. Singh,101.33
T000011,East,Q2,2023,5600,67200,Mr./Ms. Gupta,100.32
T000012,East,Q4,2025,15905,190860,Mr./Ms. Sharma,77.86
T000013,Central,Q2,2024,12368,148416,Mr./Ms. Sharma,110.1
T000014,East,Q4,2024,16831,201972,Mr./Ms. Mehta,125.11
T000015,North,Q1,2023,11565,138780,Mr./Ms. Sharma,84.12
T000016,West,Q3,2025,11849,142188,Mr./Ms. Mehta,125.0
T000017,South,Q2,2023,13742,164904,Mr./Ms. Patel,73.69
T000018,North,Q4,2024,5803,69636,Mr./Ms. Gupta,126.18
T000019,West,Q3,2024,12272,147264,Mr./Ms. Mehta,86.54
T000020,West,Q2,2024,17217,206604,Mr./Ms. Sharma,129.99
T000021,North,Q4,2023,19999,239988,Mr./Ms. Reddy,110.32
T000022,Central,Q4,2023,5434,65208,Mr./Ms. Iyer,76.18
T000023,Central,Q2,2023,10973,131676,Mr./Ms. Patel,111.07
T000024,Central,Q2,2023,13250,159000,Mr./Ms. Mehta,98.36
T000025,East,Q1,2024,11985,143820,Mr./Ms. Reddy,110.44
T000026,West,Q3,2025,15803,189636,Mr./Ms. Verma,79.88
T000027,Central,Q2,2023,16586,199032,Mr./Ms. Verma,112.7
T000028,South,Q4,2025,17373,208476,Mr./Ms. Gupta,84.77
T000029,North,Q2,2025,8359,100308,Mr./Ms. Gupta,105.69
T000030,East,Q1,2023,14684,176208,Mr./Ms. Iyer,100.88
T000031,Central,Q2,2025,6240,74880,Mr./Ms. Singh,97.43
T000032,South,Q4,2023,8890,106680,Mr./Ms. Verma,118.67
T000033,South,Q4,2025,8770,105240,Mr./Ms. Iyer,107.73
T000034,East,Q3,2025,14983,179796,Mr./Ms. Reddy,89.0
T000035,South,Q2,2025,9556,114672,Mr./Ms. Singh,79.76
T000036,Central,Q2,2024,15644,187728,Mr./Ms. Gupta,126.83
T000037,Central,Q4,2024,5897,70764,Mr./Ms. Mehta,126.41
T000038,North,Q3,2023,16241,194892,Mr./Ms. Gupta,91.73
T000039,East,Q4,2023,11873,142476,Mr./Ms. Singh,87.73
T000040,South,Q4,2025,11995,143940,Mr./Ms. Reddy,88.86
T000041,North,Q3,2023,14523,174276,Mr./Ms. Verma,120.81
T000042,South,Q3,2023,7403,88836,Mr./Ms. Iyer,109.55
T000043,West,Q4,2025,13123,157476,Mr./Ms. Gupta,124.94
